,pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_gravitye,pl_gravity,pl_insol,pl_eqt,st_spectype,st_teff,glat,glon,sy_dist,xVal,yVal
33124,TOI-1634 b,TOI-1634,2021,Transit,0.989343,0.01545,1.79,4.91,1.5324115976405233,15.0487,121.0,924.0,M2,3550.0,-13.8523,157.38273,115.04709605029319,-42.95728491178351,-103.11063714999734
33140,TOI-169 b,TOI-169,2020,Transit,2.2554477,0.03524,12.173,251.40353,1.696586970466554,16.661,1443.0,1715.0,G1 V,5880.0,-41.88837,301.58794,1330.196170879966,843.5408810098425,518.7050900264891
33150,TOI-1695 b,TOI-1695,2022,Transit,3.1342791,0.033548,1.9,6.36,1.7617728531855956,17.3011,39.0,698.0,M1 V,3690.0,9.62112,125.71643,147.19730867096573,-117.83087878694516,-84.72132201413305
33160,TOI-1728 b,TOI-1728,2020,Transit,3.49151,0.0391,5.05,26.78,1.0500931281246937,10.3122,57.78,767.0,M0,3980.0,31.87904,151.4597,198.29655452422566,-80.45115046927006,-147.92437243726852
33170,TOI-1759 b,TOI-1759,2022,Transit,18.85019,0.1177,3.14,10.8,1.0953791228853098,10.757,6.39,443.0,M0.0 V,4065.0,7.03023,103.55005,130.67585735772408,-126.08346429917614,-30.386472869582335
33181,TOI-1789 b,TOI-1789,2021,Transit,3.208664,0.04882,16.141,222.47988,0.8539449342861807,8.386,2300.0,1927.0,F,5991.0,45.58561,201.71923,747.1166297444125,193.49036930912084,-485.745212470572
33186,TOI-181 b,TOI-181,2023,Transit,4.532,0.0539,6.956,46.1687,0.9541760233800167,9.3703,102.43,895.0,K,4994.0,-70.81433,5.3051,313.8726762191754,-9.536994222149223,102.70627866541433
33200,TOI-1899 b,TOI-1899,2020,Transit,29.02,0.1587,12.89,209.7678,1.262504656877644,12.3982,2.9,362.0,M0,3841.0,5.73806,75.50727,418.9087284118308,-403.5465989753458,104.30961951550307
33237,TOI-2095 b,TOI-2095,2023,Transit,17.66484,0.101,1.25,4.1,2.6239999999999997,25.7685,3.43,347.0,M2.5 V,3759.0,25.49556,106.75582,136.71692578579362,-118.16380106465272,-35.57635802901706
33238,TOI-2095 c,TOI-2095,2023,Transit,28.17232,0.137,1.33,7.4,4.183390807846684,41.0822,1.84,297.0,M2.5 V,3759.0,25.49556,106.75582,136.71692578579362,-118.16380106465272,-35.57635802901706
33249,TOI-2136 b,TOI-2136,2022,Transit,7.851928,0.057,2.19,6.37,1.3281624653364192,13.043,4.0,395.0,M4.5 V,3342.0,17.01545,65.83323,108.81587845401482,-94.93315447527443,42.59848932550402
33264,TOI-2180 b,TOI-2180,2022,Transit,260.79,0.828,11.321,875.61726,6.831950843756216,67.0918,2.71,348.0,G5,5695.0,25.01309,85.74578,380.57556933878203,-343.93160272964826,25.584004632204678
33274,TOI-2196 b,TOI-2196,2022,Transit,1.1947268,0.02234,3.51,26.0,2.110372480742851,20.7245,2000.0,1860.0,G V,5634.0,-35.17676,323.77267,847.8337191833429,409.55712289874475,559.0291481098969
33309,TOI-244 b,TOI-244,2023,Transit,7.397225,0.0559,1.52,2.68,1.1599722991689752,11.3913,7.3,458.0,M2.5 V,3433.0,-80.21632,313.7951,71.86431779697408,8.814727416197508,8.451572703307477
33343,TOI-2641 b,TOI-2641,2023,Transit,4.880974,0.0607,18.103,122.68177,0.37435094203027075,3.6762,602.0,1387.0,F9 V,6100.0,17.329,286.38094,1122.1247097155697,1027.7096737851657,302.09995043679805
33348,TOI-269 b,TOI-269,2021,Transit,3.6977104,0.0345,2.77,8.8,1.1468936125845508,11.2628,19.0,531.0,M2 V,3514.0,-37.32334,261.96005,185.98252048352998,146.44451678877377,-20.68557145538157
33387,TOI-3629 b,TOI-3629,2022,Transit,3.936551,0.043,8.295,82.63539,1.200973156447325,11.7939,39.0,690.0,M1,3870.0,-22.44783,112.0229,424.30009333548867,-363.53627204306406,-147.04723166629708
33394,TOI-3714 b,TOI-3714,2022,Transit,2.154849,0.027,11.321,222.47988,1.7358858411319824,17.0469,54.0,750.0,M2,3660.0,-5.02267,163.30436,367.61085332454144,-105.20452334475442,-350.7619122561942
33395,TOI-3757 b,TOI-3757,2022,Transit,3.438753,0.03845,12.0,85.3,0.5923611111111111,5.8172,55.4,759.0,M0 V,3913.0,15.59205,158.55829,590.7964010323318,-208.02060791598967,-529.670689623839
33397,TOI-3785 b,TOI-3785,2023,Transit,4.6747373,0.043,5.14,14.95,0.5658677648412543,5.557,19.1,582.0,M2 V,3576.0,36.58395,152.77829,260.1534161837169,-95.55776295170351,-185.7621305144467
33404,TOI-3884 b,TOI-3884,2022,Transit,4.5445697,0.0354,6.0,16.5,0.4583333333333333,4.501,7.42,463.0,M4,3269.0,71.95418,264.84462,140.71951685313348,43.41539257521175,-3.9170221973914847
33409,TOI-3984 A b,TOI-3984 A,2023,Transit,4.353326,0.041,7.9,44.0,0.7050152219195641,6.9235,16.7,563.0,M4+/-0.5,3476.0,60.17839,60.26767,355.12884874932166,-153.35614661844073,87.5875253312339
33412,TOI-4010 b,TOI-4010,2023,Transit,1.348335,0.0229,3.02,11.0,1.2060874523047234,11.8441,714.0,1441.0,K V,4960.0,3.37092,125.91346,578.9406167023282,-468.0749770048251,-338.99738465123016
33414,TOI-4010 c,TOI-4010,2023,Transit,5.414654,0.058,5.93,20.31,0.5775645601153423,5.6719,112.0,907.0,K V,4960.0,3.37092,125.91346,578.9406167023282,-468.0749770048251,-338.99738465123016
33415,TOI-4010 d,TOI-4010,2023,Transit,14.70886,0.113,6.18,38.15,0.998889831484798,9.8094,30.0,650.0,K V,4960.0,3.37092,125.91346,578.9406167023282,-468.0749770048251,-338.99738465123016
33426,TOI-4127 b,TOI-4127,2023,Transit,56.39879,0.3081,12.285,731.00534,4.843621829865216,47.5658,22.3,605.0,F V,6096.0,26.52673,142.64659,1042.5001532235813,-565.9283644917948,-741.4523326944079
33434,TOI-4201 b,TOI-4201,2023,Transit,3.5819194,0.04,13.675,788.21445,4.214923748951402,41.3918,45.2,725.0,M1.0+/-0.5,3794.0,-16.96484,219.66063,616.4714310861938,376.33446138738327,-453.93134340347666
33437,TOI-421 b,TOI-421,2020,Transit,5.19672,0.056,2.68,7.17,0.9982735575852081,9.8033,154.57,981.0,G9 V,5325.0,-24.93742,216.79355,243.9548596844148,132.49046780500785,-177.1452355087015
33438,TOI-421 c,TOI-421,2020,Transit,16.06819,0.1189,5.09,16.42,0.6337786252175962,6.2239,34.32,674.0,G9 V,5325.0,-24.93742,216.79355,243.9548596844148,132.49046780500785,-177.1452355087015
33476,TOI-4603 b,TOI-4603,2023,Transit,7.24599,0.0888,11.68,4096.80817,30.030318847931138,294.9067,1192.0,1677.0,F,6264.0,-5.98612,185.2858,735.9490353713912,67.42873516532232,-728.8235301269619
33487,TOI-500 b,TOI-500,2022,Transit,0.548177,0.01189,1.166,1.42,1.044458632082827,10.2569,1138.0,1617.0,K6 V,4440.0,-17.33308,258.09657,154.5733351530299,144.38109074885583,-30.43489528204683
33500,TOI-5205 b,TOI-5205,2023,Transit,1.630757,0.0199,11.6,343.0,2.5490487514863256,25.0324,49.0,737.0,M4.0,3430.0,-13.20303,69.534,281.9599054414806,-257.1798967217345,95.98171437644194
33504,TOI-5293 A b,TOI-5293 A,2023,Transit,2.930289,0.034,11.9,170.4,1.2033048513523055,11.8168,34.6,675.0,M3+/-1,3586.0,-60.07625,87.00512,529.1202300060957,-263.58955913577256,13.790524263513236
33517,TOI-5542 b,TOI-5542,2022,Transit,75.12375,0.332,11.31,419.5335,3.279755245821284,32.2082,9.6,441.0,G3 V,5700.0,-33.08256,335.72494,1137.793262101082,391.9347688632303,869.0477007708498
33524,TOI-561 b,TOI-561,2020,Transit,0.4465688,0.0106,1.425,2.0,0.9849184364419821,9.6722,4745.0,2310.0,G9 V,5372.0,42.72934,230.84909,279.83891051718865,159.40922564898528,-129.78372342308805
33531,TOI-561 c,TOI-561,2020,Transit,10.778831,0.0884,2.91,5.39,0.6365064182047919,6.2507,68.2,800.0,G9 V,5372.0,42.72934,230.84909,279.83891051718865,159.40922564898528,-129.78372342308805
33534,TOI-561 d,TOI-561,2020,Transit,25.7124,0.158,2.82,13.2,1.6598762637694282,16.3005,21.4,598.0,G9 V,5372.0,42.72934,230.84909,279.83891051718865,159.40922564898528,-129.78372342308805
33536,TOI-561 e,TOI-561,2020,Transit,77.03,0.328,2.55,12.6,1.9377162629757787,19.029,4.96,415.0,G9 V,5372.0,42.72934,230.84909,279.83891051718865,159.40922564898528,-129.78372342308805
33546,TOI-615 b,TOI-615,2023,Transit,4.6615983,0.0678,18.977,138.25536,0.3839077348283886,3.7701,1286.0,1666.0,F2 V,6850.0,2.71409,261.99981,1175.4936778013605,1162.7475470234929,-163.41744278459328
33551,TOI-622 b,TOI-622,2023,Transit,6.402513,0.0708,9.236,96.30201,1.1289312716297777,11.0864,602.0,1388.0,F6 V,6400.0,-5.54922,263.18581,402.1410290334131,397.42904323337103,-47.490374882396694
33558,TOI-674 b,TOI-674,2021,Transit,1.977143,0.025,5.25,23.6,0.8562358276643991,8.4085,38.4,635.0,M2 V,3514.0,20.70965,279.02972,150.30949282713888,138.85475556767597,22.066271235341688
33585,TOI-733 b,TOI-733,2023,Transit,4.884765,0.0618,1.992,5.72,1.441509007919227,14.1561,207.1,1056.0,G,5585.0,15.24205,277.34362,245.29960242974093,234.72958513118044,30.251206274439653
33591,TOI-776 b,TOI-776,2020,Transit,8.24661,0.0652,1.85,4.0,1.168736303871439,11.4773,11.5,514.0,M1 V,3709.0,23.94395,290.576,88.6170139820169,75.82422641982566,28.464210246026187
33594,TOI-776 c,TOI-776,2020,Transit,15.6653,0.1,2.02,5.3,1.2988922654641701,12.7555,4.9,415.0,M1 V,3709.0,23.94395,290.576,88.6170139820169,75.82422641982566,28.464210246026187
33602,TOI-824 b,TOI-824,2020,Transit,1.392978,0.02177,2.926,18.467,2.156987883864885,21.1823,412.0,1253.0,K4 V,4600.0,1.77774,318.14918,208.4993783319608,139.0424598845291,155.23320531504947
33606,TOI-836 b,TOI-836,2023,Transit,3.81673,0.0422,1.704,4.53,1.5601236527144087,15.3209,78.84,871.0,K V,4552.0,29.77712,336.931,89.70083162516964,30.50746994168662,71.63113104306991
33609,TOI-836 c,TOI-836,2023,Transit,8.59545,0.075,2.587,9.6,1.4344267500267833,14.0865,26.71,665.0,K V,4552.0,29.77712,336.931,89.70083162516964,30.50746994168662,71.63113104306991
33622,TOI-908 b,TOI-908,2023,Transit,3.183792,0.041657,3.186,16.137,1.589758867361089,15.6119,80.88,1317.0,G V,5626.0,-33.63672,296.14549,573.2133107096221,428.4061875418322,210.2959540726038
33636,TOI-969 b,TOI-969,2022,Transit,1.8237305,0.02636,2.765,9.1,1.1902854396044589,11.689,188.0,941.0,K V,4435.0,11.87747,216.69969,251.97341423058094,147.36053934629183,-197.70156273940904
34056,WASP-151 b,WASP-151,2017,Transit,4.533471,0.055,12.666,98.5273,0.6141544660818743,6.0312,460.0,1290.0,G1,5871.0,-54.27961,79.21593,1477.811285870787,-847.5533375651589,161.43523791968013
34061,WASP-153 b,WASP-153,2017,Transit,3.332609,0.048,17.374,123.9537,0.41063868506571666,4.0326,1400.0,1700.0,G0,5914.0,19.63191,68.68938,1990.127939296916,-1746.2756413218706,681.2173304442331
34064,WASP-156 b,WASP-156,2017,Transit,3.836169,0.0453,5.717,40.68224,1.2447108438604486,12.2234,150.0,970.0,K3,4910.0,-54.7599,159.09073,398.12604402372,-81.98469853497457,-214.59251726347395
34110,WASP-166 b,WASP-166,2019,Transit,5.44354,0.0641,7.062,32.10083,0.6436663942083233,6.321,440.0,1270.0,F9 V,6050.0,23.13623,253.96174,372.38252113053744,329.10462092304147,-94.6071105723237
34148,WASP-173 A b,WASP-173 A,2018,Transit,1.3866529,0.02508,14.404,1102.8701,5.315671535437756,52.2015,1920.0,1842.0,G2,5767.0,-72.33626,3.29979,759.8791288044687,-13.271705623844776,230.1879226640975
34229,WASP-193 b,WASP-193,2023,Transit,6.2463345,0.0676,16.41,44.17815,0.16405533701637764,1.6111,413.0,1254.0,F9,6078.0,26.7008,275.36894,1180.9698433832245,1050.4086362218843,98.71836575601486
34448,WASP-44 b,WASP-44,2011,Transit,2.423804,0.03453,12.33,276.5121,1.8188127388937234,17.8613,533.0,1337.0,G8 V,5420.0,-72.63944,92.23763,1188.8791355428557,-354.4718537365861,-13.850590083168985
34951,XO-7 b,XO-7,2019,Transit,2.8641424,0.04421,15.39,225.34147,0.9514016130741504,9.343,1540.0,1743.0,G0 V,6250.0,27.47379,117.58141,763.6918968599774,-600.5616629915626,-313.7179803486881
35040,pi Men c,HD 39091,2018,Transit,6.2679,0.06839,2.042,4.82,1.1559407199064506,11.3517,309.0,1170.0,G0 V,6037.0,-29.77608,292.50808,59.58942252160445,47.78210657048558,19.799891517844355
